log_id,hardware_id,timestamp,cpu_utilization_pct,ram_utilization_pct,temperatura_celsius,estimated_power_watts,cumple_sla,hostname,cpu_cores,ram_gb,max_watts,ubicacion_rack,estado
LOG000023,HW023,2026-07-10 07:57:04.779,52.63,43.67,49.58,233.32,True,srv-green-023,32,128,450,Rack-03,activo
LOG000024,HW037,2026-07-10 07:58:04.779,65.25,48.53,50.68,522.93,True,srv-green-037,16,32,800,Rack-04,activo
LOG000025,HW047,2026-07-10 07:59:04.779,50.8,45.38,45.19,247.22,True,srv-green-047,32,128,450,Rack-05,activo
LOG000026,HW023,2026-07-10 08:00:04.779,32.6,34.06,34.72,132.96,True,srv-green-023,32,128,450,Rack-03,activo
LOG000027,HW046,2026-07-10 08:01:04.779,39.2,39.63,39.59,187.13,True,srv-green-046,16,64,450,Rack-05,activo
LOG000028,HW045,2026-07-10 08:02:04.779,85.76,60.6,61.12,560.31,False,srv-green-045,64,32,600,Rack-05,activo
LOG000029,HW015,2026-07-10 08:03:04.779,62.3,57.22,50.52,345.22,True,srv-green-015,64,128,600,Rack-02,activo
LOG000030,HW013,2026-07-10 08:04:04.779,56.03,60.92,48.23,319.76,True,srv-green-013,64,64,600,Rack-02,activo
LOG000031,HW044,2026-07-10 08:05:04.779,36.32,32.76,36.12,209.11,True,srv-green-044,16,64,600,Rack-05,activo
LOG000032,HW023,2026-07-10 08:06:04.779,58.5,42.6,49.92,282.95,True,srv-green-023,32,128,450,Rack-03,activo
LOG000033,HW044,2026-07-10 08:07:04.779,60.2,55.26,50.75,316.55,True,srv-green-044,16,64,600,Rack-05,activo
LOG000034,HW040,2026-07-10 08:08:04.779,49.16,39.04,47.24,366.03,True,srv-green-040,64,128,800,Rack-04,activo
LOG000035,HW014,2026-07-10 08:09:04.779,41.13,41.5,41.32,248.74,True,srv-green-014,64,128,600,Rack-02,activo
LOG000036,HW001,2026-07-10 08:10:04.779,62.21,50.55,53.31,373.74,True,srv-green-001,32,32,600,Rack-01,activo
LOG000037,HW017,2026-07-10 08:11:04.779,46.91,42.99,41.53,183.92,True,srv-green-017,32,32,450,Rack-02,activo
LOG000038,HW005,2026-07-10 08:12:04.779,55.44,40.95,46.43,490.03,True,srv-green-005,16,128,800,Rack-01,activo
LOG000039,HW046,2026-07-10 08:13:04.779,63.91,49.1,50.91,302.64,True,srv-green-046,16,64,450,Rack-05,activo
LOG000040,HW048,2026-07-10 08:14:04.779,52.03,55.01,45.43,393.76,True,srv-green-048,16,64,800,Rack-05,activo
LOG000041,HW043,2026-07-10 08:15:04.779,78.4,78.31,59.67,416.47,True,srv-green-043,16,32,600,Rack-05,activo
LOG000042,HW031,2026-07-10 08:16:04.779,58.52,63.33,48.87,287.28,True,srv-green-031,64,32,450,Rack-04,activo
LOG000043,HW045,2026-07-10 08:17:04.779,57.93,50.47,47.32,346.13,True,srv-green-045,64,32,600,Rack-05,activo
LOG000044,HW030,2026-07-10 08:18:04.779,65.85,49.57,52.16,426.63,True,srv-green-030,16,32,600,Rack-03,activo
LOG000045,HW022,2026-07-10 08:19:04.779,70.23,61.65,52.79,596.29,True,srv-green-022,32,32,800,Rack-03,activo
LOG000046,HW040,2026-07-10 08:20:04.779,53.17,42.95,46.31,372.79,True,srv-green-040,64,128,800,Rack-04,activo
LOG000047,HW044,2026-07-10 08:21:04.779,57.86,42.56,49.07,317.79,True,srv-green-044,16,64,600,Rack-05,activo
LOG000048,HW031,2026-07-10 08:22:04.779,43.64,34.7,41.66,182.98,True,srv-green-031,64,32,450,Rack-04,activo
LOG000049,HW043,2026-07-10 08:23:04.779,56.53,58.31,44.81,309.42,True,srv-green-043,16,32,600,Rack-05,activo
LOG000050,HW047,2026-07-10 08:24:04.779,55.02,56.72,45.89,212.34,True,srv-green-047,32,128,450,Rack-05,activo
LOG000051,HW019,2026-07-10 08:25:04.779,62.7,65.5,48.99,310.75,True,srv-green-019,16,64,450,Rack-02,activo
LOG000052,HW045,2026-07-10 08:26:04.779,41.32,36.97,40.43,273.85,True,srv-green-045,64,32,600,Rack-05,activo
LOG000053,HW034,2026-07-10 08:27:04.779,64.06,55.82,48.82,416.43,True,srv-green-034,32,64,600,Rack-04,activo
LOG000054,HW045,2026-07-10 08:28:04.779,52.68,54.73,44.88,330.4,True,srv-green-045,64,32,600,Rack-05,activo
LOG000055,HW040,2026-07-10 08:29:04.779,42.32,45.01,37.3,349.12,True,srv-green-040,64,128,800,Rack-04,activo
LOG000056,HW006,2026-07-10 08:30:04.779,50.81,43.23,43.16,228.22,True,srv-green-006,16,128,450,Rack-01,activo
LOG000057,HW016,2026-07-10 08:31:04.779,51.95,55.51,44.0,404.64,True,srv-green-016,16,64,800,Rack-02,activo
LOG000058,HW013,2026-07-10 08:32:04.779,48.68,47.58,44.81,292.73,True,srv-green-013,64,64,600,Rack-02,activo
LOG000059,HW023,2026-07-10 08:33:04.779,46.02,34.61,43.19,224.2,True,srv-green-023,32,128,450,Rack-03,activo
LOG000060,HW006,2026-07-10 08:34:04.779,55.56,41.81,47.27,266.15,True,srv-green-006,16,128,450,Rack-01,activo
LOG000061,HW009,2026-07-10 08:35:04.779,70.26,73.61,51.67,385.84,True,srv-green-009,64,32,600,Rack-01,activo
LOG000062,HW019,2026-07-10 08:36:04.779,61.0,62.51,50.76,290.89,True,srv-green-019,16,64,450,Rack-02,activo
LOG000063,HW043,2026-07-10 08:37:04.779,63.11,55.65,48.64,323.5,True,srv-green-043,16,32,600,Rack-05,activo
LOG000064,HW048,2026-07-10 08:38:04.779,54.12,56.51,47.88,399.7,True,srv-green-048,16,64,800,Rack-05,activo
LOG000065,HW003,2026-07-10 08:39:04.779,60.12,62.97,48.97,256.81,True,srv-green-003,64,64,450,Rack-01,activo
LOG000066,HW036,2026-07-10 08:40:04.779,51.06,36.64,46.51,412.23,True,srv-green-036,32,32,800,Rack-04,activo
LOG000067,HW021,2026-07-10 08:41:04.779,36.74,28.61,38.3,163.08,True,srv-green-021,16,32,450,Rack-03,activo
LOG000068,HW023,2026-07-10 08:42:04.779,56.3,52.08,46.01,224.14,True,srv-green-023,32,128,450,Rack-03,activo
LOG000069,HW029,2026-07-10 08:43:04.779,76.41,73.23,55.11,449.46,True,srv-green-029,32,64,600,Rack-03,activo
LOG000070,HW004,2026-07-10 08:44:04.779,53.4,45.33,44.78,220.17,True,srv-green-004,64,128,450,Rack-01,activo
LOG000071,HW034,2026-07-10 08:45:04.779,47.99,36.27,41.38,313.46,True,srv-green-034,32,64,600,Rack-04,activo
LOG000072,HW033,2026-07-10 08:46:04.779,45.8,39.14,42.36,328.03,True,srv-green-033,32,64,800,Rack-04,activo
LOG000073,HW023,2026-07-10 08:47:04.779,47.86,48.38,43.05,221.6,True,srv-green-023,32,128,450,Rack-03,activo
LOG000074,HW008,2026-07-10 08:48:04.779,57.56,61.92,47.6,491.92,True,srv-green-008,32,64,800,Rack-01,activo
LOG000075,HW022,2026-07-10 08:49:04.779,54.38,41.52,47.18,376.2,True,srv-green-022,32,32,800,Rack-03,activo
LOG000076,HW028,2026-07-10 08:50:04.779,36.56,26.37,40.08,292.29,True,srv-green-028,64,64,800,Rack-03,activo
LOG000077,HW042,2026-07-10 08:51:04.779,40.51,30.51,42.44,170.76,True,srv-green-042,16,32,450,Rack-05,activo
LOG000078,HW032,2026-07-10 08:52:04.779,70.44,61.73,54.2,426.07,True,srv-green-032,16,64,600,Rack-04,activo
LOG000079,HW044,2026-07-10 08:53:04.779,53.94,37.94,48.76,302.89,True,srv-green-044,16,64,600,Rack-05,activo
LOG000080,HW047,2026-07-10 08:54:04.779,56.6,58.22,44.63,269.89,True,srv-green-047,32,128,450,Rack-05,activo
LOG000081,HW034,2026-07-10 08:55:04.779,36.58,36.64,38.09,188.27,True,srv-green-034,32,64,600,Rack-04,activo
LOG000082,HW026,2026-07-10 08:56:04.779,62.16,62.63,50.9,328.59,True,srv-green-026,16,64,600,Rack-03,activo
LOG000083,HW014,2026-07-10 08:57:04.779,54.29,45.82,49.24,295.53,True,srv-green-014,64,128,600,Rack-02,activo
LOG000084,HW034,2026-07-10 08:58:04.779,54.04,57.23,46.93,286.22,True,srv-green-034,32,64,600,Rack-04,activo
LOG000085,HW025,2026-07-10 08:59:04.779,48.52,38.42,44.55,275.47,True,srv-green-025,32,64,600,Rack-03,activo
LOG000086,HW038,2026-07-10 09:00:04.779,60.38,42.29,49.66,455.83,True,srv-green-038,32,32,800,Rack-04,activo
LOG000087,HW047,2026-07-10 09:01:04.779,65.02,53.24,52.39,325.55,True,srv-green-047,32,128,450,Rack-05,activo
LOG000088,HW048,2026-07-10 09:02:04.779,45.69,48.2,43.32,365.4,True,srv-green-048,16,64,800,Rack-05,activo
LOG000089,HW005,2026-07-10 09:03:04.779,42.78,37.23,38.57,328.74,True,srv-green-005,16,128,800,Rack-01,activo
LOG000090,HW048,2026-07-10 09:04:04.779,44.72,36.96,43.26,388.51,True,srv-green-048,16,64,800,Rack-05,activo
LOG000091,HW045,2026-07-10 09:05:04.779,54.9,55.83,46.17,351.68,True,srv-green-045,64,32,600,Rack-05,activo
LOG000092,HW002,2026-07-10 09:06:04.779,74.26,53.51,54.72,506.73,True,srv-green-002,64,64,800,Rack-01,activo
LOG000093,HW030,2026-07-10 09:07:04.779,52.41,53.7,46.8,286.35,True,srv-green-030,16,32,600,Rack-03,activo
LOG000094,HW019,2026-07-10 09:08:04.779,42.19,34.81,39.1,163.78,True,srv-green-019,16,64,450,Rack-02,activo
LOG000095,HW025,2026-07-10 09:09:04.779,54.76,40.21,45.83,331.2,True,srv-green-025,32,64,600,Rack-03,activo
LOG000096,HW031,2026-07-10 09:10:04.779,58.25,49.17,49.94,270.07,True,srv-green-031,64,32,450,Rack-04,activo
LOG000097,HW030,2026-07-10 09:11:04.779,48.07,49.93,41.9,249.35,True,srv-green-030,16,32,600,Rack-03,activo
LOG000098,HW028,2026-07-10 09:12:04.779,49.94,50.18,46.31,374.83,True,srv-green-028,64,64,800,Rack-03,activo
LOG000099,HW031,2026-07-10 09:13:04.779,67.7,58.4,53.01,288.23,True,srv-green-031,64,32,450,Rack-04,activo
LOG000100,HW015,2026-07-10 09:14:04.779,58.34,57.39,49.4,316.34,True,srv-green-015,64,128,600,Rack-02,activo
LOG000101,HW015,2026-07-10 09:15:04.779,51.38,44.85,45.22,303.76,True,srv-green-015,64,128,600,Rack-02,activo
LOG000102,HW005,2026-07-10 09:16:04.779,39.78,36.99,37.99,328.14,True,srv-green-005,16,128,800,Rack-01,activo
LOG000103,HW010,2026-07-10 09:17:04.779,56.17,47.37,47.77,478.65,True,srv-green-010,64,64,800,Rack-01,activo
LOG000104,HW007,2026-07-10 09:18:04.779,70.87,64.41,54.27,434.21,True,srv-green-007,32,128,600,Rack-01,activo
LOG000105,HW044,2026-07-10 09:19:04.779,49.77,51.92,44.54,269.3,True,srv-green-044,16,64,600,Rack-05,activo
LOG000106,HW022,2026-07-10 09:20:04.779,50.22,54.87,45.23,420.11,True,srv-green-022,32,32,800,Rack-03,activo
LOG000107,HW007,2026-07-10 09:21:04.779,65.72,48.24,53.7,413.26,True,srv-green-007,32,128,600,Rack-01,activo
LOG000108,HW010,2026-07-10 09:22:04.779,46.92,38.58,45.43,392.34,True,srv-green-010,64,64,800,Rack-01,activo
LOG000109,HW049,2026-07-10 09:23:04.779,56.6,40.63,47.03,442.52,True,srv-green-049,64,64,800,Rack-05,activo
LOG000110,HW047,2026-07-10 09:24:04.779,33.12,31.71,37.57,166.75,True,srv-green-047,32,128,450,Rack-05,activo
LOG000111,HW032,2026-07-10 09:25:04.779,33.66,24.67,34.93,199.53,True,srv-green-032,16,64,600,Rack-04,activo
LOG000112,HW023,2026-07-10 09:26:04.779,49.26,41.92,45.5,223.46,True,srv-green-023,32,128,450,Rack-03,activo
LOG000113,HW003,2026-07-10 09:27:04.779,61.52,66.88,50.64,299.65,True,srv-green-003,64,64,450,Rack-01,activo
LOG000114,HW047,2026-07-10 09:28:04.779,46.58,36.0,41.87,186.39,True,srv-green-047,32,128,450,Rack-05,activo
LOG000115,HW039,2026-07-10 09:29:04.779,57.97,42.93,47.5,420.19,True,srv-green-039,32,32,800,Rack-04,activo
LOG000116,HW004,2026-07-10 09:30:04.779,74.07,64.36,54.68,361.07,True,srv-green-004,64,128,450,Rack-01,activo
LOG000117,HW030,2026-07-10 09:31:04.779,50.87,50.84,44.6,336.3,True,srv-green-030,16,32,600,Rack-03,activo
LOG000118,HW022,2026-07-10 09:32:04.779,63.22,65.56,50.12,442.89,True,srv-green-022,32,32,800,Rack-03,activo
LOG000119,HW001,2026-07-10 09:33:04.779,49.22,49.31,44.42,275.66,True,srv-green-001,32,32,600,Rack-01,activo
LOG000120,HW008,2026-07-10 09:34:04.779,59.79,60.83,48.13,499.54,True,srv-green-008,32,64,800,Rack-01,activo
LOG000121,HW018,2026-07-10 09:35:04.779,49.05,51.3,41.7,403.56,True,srv-green-018,64,64,800,Rack-02,activo
LOG000122,HW047,2026-07-10 09:36:04.779,56.02,47.26,47.11,237.0,True,srv-green-047,32,128,450,Rack-05,activo
LOG000123,HW009,2026-07-10 09:37:04.779,39.23,29.35,39.71,256.66,True,srv-green-009,64,32,600,Rack-01,activo
LOG000124,HW033,2026-07-10 09:38:04.779,61.38,61.09,50.32,542.89,True,srv-green-033,32,64,800,Rack-04,activo
LOG000125,HW016,2026-07-10 09:39:04.779,53.49,40.77,45.41,394.66,True,srv-green-016,16,64,800,Rack-02,activo
LOG000126,HW010,2026-07-10 09:40:04.779,65.84,51.59,52.59,461.64,True,srv-green-010,64,64,800,Rack-01,activo
LOG000127,HW024,2026-07-10 09:41:04.779,59.16,65.01,50.36,425.17,True,srv-green-024,32,32,800,Rack-03,activo
LOG000128,HW006,2026-07-10 09:42:04.779,32.26,32.25,39.64,140.43,True,srv-green-006,16,128,450,Rack-01,activo
LOG000129,HW030,2026-07-10 09:43:04.779,51.9,49.69,47.35,311.79,True,srv-green-030,16,32,600,Rack-03,activo
LOG000130,HW017,2026-07-10 09:44:04.779,40.33,36.31,39.44,194.94,True,srv-green-017,32,32,450,Rack-02,activo
LOG000131,HW042,2026-07-10 09:45:04.779,68.2,70.38,52.56,308.79,True,srv-green-042,16,32,450,Rack-05,activo
LOG000132,HW001,2026-07-10 09:46:04.779,56.72,43.3,47.88,356.38,True,srv-green-001,32,32,600,Rack-01,activo
LOG000133,HW012,2026-07-10 09:47:04.779,53.95,43.4,47.66,370.51,True,srv-green-012,16,64,800,Rack-02,activo
LOG000134,HW044,2026-07-10 09:48:04.779,49.08,45.1,41.14,273.84,True,srv-green-044,16,64,600,Rack-05,activo
LOG000135,HW031,2026-07-10 09:49:04.779,53.88,39.67,46.62,256.18,True,srv-green-031,64,32,450,Rack-04,activo
LOG000136,HW048,2026-07-10 09:50:04.779,47.91,38.27,42.88,422.72,True,srv-green-048,16,64,800,Rack-05,activo
LOG000137,HW040,2026-07-10 09:51:04.779,53.26,38.39,49.07,386.42,True,srv-green-040,64,128,800,Rack-04,activo
LOG000138,HW016,2026-07-10 09:52:04.779,59.39,64.72,48.47,455.53,True,srv-green-016,16,64,800,Rack-02,activo
LOG000139,HW023,2026-07-10 09:53:04.779,68.07,53.91,51.38,280.52,True,srv-green-023,32,128,450,Rack-03,activo
LOG000140,HW018,2026-07-10 09:54:04.779,45.83,41.76,44.32,397.36,True,srv-green-018,64,64,800,Rack-02,activo
LOG000141,HW027,2026-07-10 09:55:04.779,55.1,52.89,50.03,219.21,True,srv-green-027,32,32,450,Rack-03,activo
LOG000142,HW049,2026-07-10 09:56:04.779,64.13,48.33,55.42,549.01,True,srv-green-049,64,64,800,Rack-05,activo
LOG000143,HW028,2026-07-10 09:57:04.779,60.81,62.4,49.88,469.28,True,srv-green-028,64,64,800,Rack-03,activo
LOG000144,HW032,2026-07-10 09:58:04.779,57.09,45.17,48.03,311.08,True,srv-green-032,16,64,600,Rack-04,activo
LOG000145,HW044,2026-07-10 09:59:04.779,51.72,52.77,45.43,288.43,True,srv-green-044,16,64,600,Rack-05,activo
LOG000146,HW029,2026-07-10 10:00:04.779,51.04,46.76,46.54,312.87,True,srv-green-029,32,64,600,Rack-03,activo
LOG000147,HW014,2026-07-10 10:01:04.779,46.9,43.38,42.89,295.66,True,srv-green-014,64,128,600,Rack-02,activo
LOG000148,HW021,2026-07-10 10:02:04.779,75.86,81.99,55.64,324.45,True,srv-green-021,16,32,450,Rack-03,activo
LOG000149,HW036,2026-07-10 10:03:04.779,53.07,39.18,48.02,424.02,True,srv-green-036,32,32,800,Rack-04,activo
LOG000150,HW031,2026-07-10 10:04:04.779,66.37,57.99,52.68,269.66,True,srv-green-031,64,32,450,Rack-04,activo
LOG000151,HW034,2026-07-10 10:05:04.779,51.91,50.46,45.85,342.87,True,srv-green-034,32,64,600,Rack-04,activo
LOG000152,HW046,2026-07-10 10:06:04.779,55.13,52.32,47.27,253.13,True,srv-green-046,16,64,450,Rack-05,activo
LOG000153,HW017,2026-07-10 10:07:04.779,42.0,37.57,43.07,172.53,True,srv-green-017,32,32,450,Rack-02,activo
LOG000154,HW037,2026-07-10 10:08:04.779,56.83,45.76,48.5,478.48,True,srv-green-037,16,32,800,Rack-04,activo
LOG000155,HW040,2026-07-10 10:09:04.779,64.49,54.38,52.25,490.33,True,srv-green-040,64,128,800,Rack-04,activo
LOG000156,HW029,2026-07-10 10:10:04.779,72.38,68.37,53.88,448.04,True,srv-green-029,32,64,600,Rack-03,activo
LOG000157,HW026,2026-07-10 10:11:04.779,60.47,56.66,50.3,366.69,True,srv-green-026,16,64,600,Rack-03,activo
LOG000158,HW048,2026-07-10 10:12:04.779,68.59,61.32,53.12,517.6,True,srv-green-048,16,64,800,Rack-05,activo
LOG000159,HW025,2026-07-10 10:13:04.779,45.14,36.4,39.89,279.7,True,srv-green-025,32,64,600,Rack-03,activo
LOG000160,HW033,2026-07-10 10:14:04.779,39.86,35.06,41.81,352.93,True,srv-green-033,32,64,800,Rack-04,activo
LOG000161,HW043,2026-07-10 10:15:04.779,45.21,45.12,44.64,287.71,True,srv-green-043,16,32,600,Rack-05,activo
LOG000162,HW044,2026-07-10 10:16:04.779,49.8,53.31,43.78,254.53,True,srv-green-044,16,64,600,Rack-05,activo
LOG000163,HW027,2026-07-10 10:17:04.779,67.76,56.22,50.45,335.92,True,srv-green-027,32,32,450,Rack-03,activo
LOG000164,HW006,2026-07-10 10:18:04.779,57.7,44.67,50.52,236.4,True,srv-green-006,16,128,450,Rack-01,activo
LOG000165,HW034,2026-07-10 10:19:04.779,51.72,51.52,46.9,346.46,True,srv-green-034,32,64,600,Rack-04,activo
LOG000166,HW050,2026-07-10 10:20:04.779,31.36,32.99,37.42,220.93,True,srv-green-050,32,32,800,Rack-05,activo
LOG000167,HW012,2026-07-10 10:21:04.779,56.32,56.86,49.01,453.21,True,srv-green-012,16,64,800,Rack-02,activo
LOG000168,HW001,2026-07-10 10:22:04.779,38.97,33.06,39.37,232.89,True,srv-green-001,32,32,600,Rack-01,activo
LOG000169,HW029,2026-07-10 10:23:04.779,42.78,40.97,41.24,267.29,True,srv-green-029,32,64,600,Rack-03,activo
LOG000170,HW015,2026-07-10 10:24:04.779,64.34,57.8,50.83,340.4,True,srv-green-015,64,128,600,Rack-02,activo
LOG000171,HW038,2026-07-10 10:25:04.779,63.33,49.57,51.74,535.21,True,srv-green-038,32,32,800,Rack-04,activo
LOG000172,HW013,2026-07-10 10:26:04.779,47.65,33.43,40.69,248.73,True,srv-green-013,64,64,600,Rack-02,activo
LOG000173,HW043,2026-07-10 10:27:04.779,45.21,40.09,40.5,238.63,True,srv-green-043,16,32,600,Rack-05,activo
LOG000174,HW034,2026-07-10 10:28:04.779,55.42,54.06,47.62,371.57,True,srv-green-034,32,64,600,Rack-04,activo
LOG000175,HW001,2026-07-10 10:29:04.779,66.78,48.74,52.09,416.27,True,srv-green-001,32,32,600,Rack-01,activo
LOG000176,HW049,2026-07-10 10:30:04.779,68.87,53.22,52.73,510.8,True,srv-green-049,64,64,800,Rack-05,activo
LOG000177,HW041,2026-07-10 10:31:04.779,58.72,45.48,49.4,266.1,True,srv-green-041,16,128,450,Rack-05,activo
LOG000178,HW033,2026-07-10 10:32:04.779,37.41,37.62,37.78,298.65,True,srv-green-033,32,64,800,Rack-04,activo
LOG000179,HW020,2026-07-10 10:33:04.779,56.08,48.05,45.61,423.62,True,srv-green-020,32,64,800,Rack-02,activo
LOG000180,HW029,2026-07-10 10:34:04.779,33.18,35.36,35.9,172.14,True,srv-green-029,32,64,600,Rack-03,activo
LOG000181,HW024,2026-07-10 10:35:04.779,41.71,33.64,42.38,370.92,True,srv-green-024,32,32,800,Rack-03,activo
LOG000182,HW037,2026-07-10 10:36:04.779,56.91,59.57,45.66,430.47,True,srv-green-037,16,32,800,Rack-04,activo
LOG000183,HW015,2026-07-10 10:37:04.779,49.72,50.11,43.55,289.78,True,srv-green-015,64,128,600,Rack-02,activo
LOG000184,HW046,2026-07-10 10:38:04.779,41.04,40.08,40.75,166.17,True,srv-green-046,16,64,450,Rack-05,activo
LOG000185,HW001,2026-07-10 10:39:04.779,48.37,51.09,43.14,307.96,True,srv-green-001,32,32,600,Rack-01,activo
LOG000186,HW033,2026-07-10 10:40:04.779,47.75,51.92,43.34,354.23,True,srv-green-033,32,64,800,Rack-04,activo
LOG000187,HW010,2026-07-10 10:41:04.779,56.3,53.47,48.48,500.93,True,srv-green-010,64,64,800,Rack-01,activo
LOG000188,HW019,2026-07-10 10:42:04.779,38.32,35.28,39.16,154.42,True,srv-green-019,16,64,450,Rack-02,activo
LOG000189,HW013,2026-07-10 10:43:04.779,42.98,41.98,40.69,254.98,True,srv-green-013,64,64,600,Rack-02,activo
LOG000190,HW015,2026-07-10 10:44:04.779,71.14,50.78,54.28,381.12,True,srv-green-015,64,128,600,Rack-02,activo
LOG000191,HW044,2026-07-10 10:45:04.779,35.98,37.67,41.2,219.69,True,srv-green-044,16,64,600,Rack-05,activo
LOG000192,HW042,2026-07-10 10:46:04.779,71.43,76.2,53.2,353.54,True,srv-green-042,16,32,450,Rack-05,activo
LOG000193,HW041,2026-07-10 10:47:04.779,64.34,55.79,50.14,256.63,True,srv-green-041,16,128,450,Rack-05,activo
LOG000194,HW025,2026-07-10 10:48:04.779,42.83,32.9,39.29,279.57,True,srv-green-025,32,64,600,Rack-03,activo
LOG000195,HW023,2026-07-10 10:49:04.779,61.3,61.43,49.55,263.62,True,srv-green-023,32,128,450,Rack-03,activo
LOG000196,HW046,2026-07-10 10:50:04.779,44.09,34.0,40.71,184.47,True,srv-green-046,16,64,450,Rack-05,activo
LOG000197,HW028,2026-07-10 10:51:04.779,54.22,43.25,45.58,414.54,True,srv-green-028,64,64,800,Rack-03,activo
LOG000198,HW005,2026-07-10 10:52:04.779,31.17,23.83,36.59,256.46,True,srv-green-005,16,128,800,Rack-01,activo
LOG000199,HW020,2026-07-10 10:53:04.779,50.87,53.24,43.9,361.64,True,srv-green-020,32,64,800,Rack-02,activo
LOG000200,HW038,2026-07-10 10:54:04.779,52.7,43.43,45.53,386.99,True,srv-green-038,32,32,800,Rack-04,activo
LOG000201,HW033,2026-07-10 10:55:04.779,61.42,51.21,50.8,503.1,True,srv-green-033,32,64,800,Rack-04,activo
LOG000202,HW005,2026-07-10 10:56:04.779,79.37,77.4,57.41,595.34,True,srv-green-005,16,128,800,Rack-01,activo
LOG000203,HW049,2026-07-10 10:57:04.779,42.36,45.59,41.35,368.85,True,srv-green-049,64,64,800,Rack-05,activo
LOG000204,HW035,2026-07-10 10:58:04.779,45.4,47.29,43.57,282.59,True,srv-green-035,16,64,600,Rack-04,activo
LOG000205,HW028,2026-07-10 10:59:04.779,37.5,37.63,38.58,335.38,True,srv-green-028,64,64,800,Rack-03,activo
LOG000206,HW021,2026-07-10 11:00:04.779,56.4,47.6,49.78,254.68,True,srv-green-021,16,32,450,Rack-03,activo
LOG000207,HW022,2026-07-10 11:01:04.779,52.37,51.38,45.48,437.72,True,srv-green-022,32,32,800,Rack-03,activo
LOG000208,HW043,2026-07-10 11:02:04.779,54.55,45.71,47.44,305.97,True,srv-green-043,16,32,600,Rack-05,activo
LOG000209,HW021,2026-07-10 11:03:04.779,57.24,59.48,47.33,223.03,True,srv-green-021,16,32,450,Rack-03,activo
LOG000210,HW008,2026-07-10 11:04:04.779,64.61,55.51,50.39,530.0,True,srv-green-008,32,64,800,Rack-01,activo
LOG000211,HW039,2026-07-10 11:05:04.779,51.68,44.16,45.86,429.04,True,srv-green-039,32,32,800,Rack-04,activo
LOG000212,HW034,2026-07-10 11:06:04.779,56.89,59.54,47.06,322.78,True,srv-green-034,32,64,600,Rack-04,activo
